1	1	1	1	1	1	1	1	1	1	0	1
1	0	0	0	0	0	0	1	1	0	1.315	1.8
1	0	0	0	0	0	0	0	1	0	1.196	2.5
0	1	1	0	1	0	0	0	1	1	1.372	-3.5
0	1	1	0	1	0	0	0	0	1	1.376	-3.5
1	0	0	0	0	1	0	0	0	0	1.247	2.8
1	0	0	0	0	0	0	1	1	0	1.382	-0.4
1	0	1	1	0	1	0	0	0	1	1.279	-3.2
1	0	0	0	0	0	1	0	0	0	1.241	4.5
1	0	1	1	0	0	0	0	0	1	1.367	-3.9
1	0	0	0	0	0	1	0	0	0	1.234	3.8
0	1	0	0	0	0	0	0	0	0	1.269	1.9
0	1	0	0	0	0	0	0	1	1	1.38	-3.5
0	1	0	0	0	0	0	0	1	0	1.342	-1.6
0	1	0	0	0	0	0	0	0	1	1.342	-3.5
0	1	1	1	0	0	0	0	0	1	1.31	-4.5
0	1	0	0	0	0	0	1	1	1	1.381	-0.8
1	0	0	0	0	0	0	0	1	1	1.324	-0.7
1	0	0	0	0	0	1	0	1	0	1.235	4.2
1	0	0	0	0	1	0	0	0	1	1.186	-0.9
1	0	0	0	0	1	0	0	0	0	1.199	-1.3
