x
0 1
10 -409 658
11 -644 542
15 -647 712
20 -570 610
21 -613 828
22 -592 855
23 -518 622
25 -515 618
26 -454 577
52 -2840 991
53 -1626 1204
55 -2520 1635
56 -1797 1195
110 -432 523
111 -600 1041
115 -674 700
120 -523 893
121 -639 748
122 -669 805
123 -609 562
125 -538 579
126 -509 553
152 -2935 1290
153 -1719 1217
155 -2139 1929
156 -1785 1117
210 -543 611
211 -586 1142
215 -682 696
220 -525 755
221 -633 636
222 -686 780
223 -597 736
225 -553 524
226 -530 551
252 -3108 1374
253 -1814 940
255 -2174 1765
256 -1814 1208
310 -457 648
311 -625 1088
315 -654 682
320 -487 874
321 -637 783
322 -602 814
323 -564 659
325 -518 599
326 -445 535
352 -2976 1444
353 -1737 1016
355 -2137 1833
356 -1651 1141
410 -490 604
411 -585 1147
415 -678 700
420 -481 644
421 -643 664
422 -625 826
423 -589 715
425 -529 534
426 -434 586
452 -3008 974
453 -1742 1014
455 -2256 1715
456 -1695 1217
510 -519 635
511 -589 1163
515 -680 695
520 -486 498
521 -657 714
522 -645 851
523 -648 749
525 -570 518
526 -540 609
552 -3458 1134
553 -2024 1142
555 -2437 1873
556 -1621 1160
610 -518 625
611 -705 1025
615 -685 693
620 -553 1036
621 -656 475
622 -632 870
623 -560 593
625 -564 623
626 -447 674
652 -3030 1116
653 -1717 1204
655 -2590 1836
656 -1754 1244
710 -441 560
711 -676 1108
715 -694 727
720 -575 776
721 -653 831
722 -578 861
723 -524 671
725 -515 496
726 -433 532
752 -2990 1043
753 -1706 1149
755 -2278 1702
756 -1941 1157
810 -428 541
811 -646 1136
815 -655 699
820 -511 678
821 -618 617
822 -594 846
823 -510 598
825 -484 518
826 -415 708
852 -3143 1201
853 -1838 1380
855 -2220 1908
856 -1764 1167
910 -529 663
911 -703 1154
915 -661 735
920 -553 618
921 -631 740
922 -663 883
923 -596 647
925 -548 575
926 -517 597
952 -3198 926
953 -1866 895
955 -2425 1898
956 -1903 1282
2000 -9.25596e+061 26.5
