x
0 1
11 -707 1139
14 -704 914
16 -649 1066
18 -623 780
20 -655 959
21 -663 873
22 -682 868
23 -629 821
24 -626 821
26 -518 740
28 -779 1267
29 -665 944
54 -1345 1145
56 -2066 1254
57 -1734 1015
111 -707 1142
114 -704 867
116 -666 1066
118 -605 780
120 -655 959
121 -680 873
122 -645 872
123 -596 821
124 -626 821
126 -499 763
128 -779 1262
129 -645 964
154 -1345 1071
156 -2066 1263
157 -1734 1015
211 -707 1142
214 -704 914
216 -666 1073
218 -623 780
220 -655 959
221 -680 873
222 -682 868
223 -629 853
224 -621 821
226 -518 763
228 -779 1262
229 -658 964
254 -1345 1071
256 -2125 1263
257 -1734 1039
311 -707 1142
314 -704 914
316 -666 1073
318 -625 780
320 -655 940
321 -680 873
322 -686 866
323 -630 858
324 -621 811
326 -526 772
328 -779 1262
329 -658 964
354 -1358 1104
356 -2125 1263
357 -1726 1039
411 -677 1142
414 -669 914
416 -666 1073
418 -625 780
420 -618 940
421 -680 855
422 -686 866
423 -630 858
424 -621 844
426 -526 772
428 -728 1262
429 -658 964
454 -1358 1104
456 -2125 1263
457 -1726 1039
511 -667 1142
514 -669 914
516 -661 1073
518 -625 780
520 -618 966
521 -680 851
522 -686 866
523 -630 858
524 -631 826
526 -526 772
528 -728 1241
529 -658 964
554 -1358 1104
556 -2125 1263
557 -1726 1039
611 -677 1149
614 -669 907
616 -666 1073
618 -633 769
620 -609 948
621 -672 825
622 -694 866
623 -636 858
624 -663 844
626 -533 772
628 -728 1224
629 -631 964
654 -1358 1104
656 -2040 1267
657 -1746 1039
711 -677 1149
714 -666 907
716 -650 1073
718 -633 769
720 -618 948
721 -672 825
722 -694 849
723 -636 858
724 -663 844
726 -533 772
728 -722 1263
729 -658 957
754 -1358 1104
756 -2125 1267
757 -1746 1000
811 -677 1149
814 -647 907
816 -650 1054
818 -633 769
820 -594 948
821 -681 825
822 -694 866
823 -636 858
824 -663 844
826 -533 772
828 -722 1263
829 -631 957
854 -1354 1104
856 -2040 1267
857 -1746 1000
911 -677 1140
914 -645 907
916 -650 1054
918 -633 749
920 -594 948
921 -681 825
922 -694 847
923 -636 788
924 -629 844
926 -536 729
928 -722 1263
929 -631 957
954 -1348 1071
956 -2040 1267
957 -1746 951
1900 3 10
2000 -1.85119e+062 32.6
