x
0 1
11 -680 1150
18 -645 787
26 -554 753
51 -4847 1138
54 -1398 1148
55 -2447 2295
56 -2040 1267
57 -1766 1115
111 -666 1150
118 -645 797
126 -586 757
151 -4847 1138
154 -1398 1148
155 -2443 2295
156 -2001 1267
157 -1773 1115
211 -671 1150
218 -645 787
226 -586 757
251 -4847 1171
254 -1398 1148
255 -2443 2295
256 -2074 1250
257 -1773 1115
311 -671 1150
318 -645 787
326 -586 757
351 -4847 1238
354 -1398 1148
355 -2443 2317
356 -2074 1250
357 -1779 1115
411 -671 1150
418 -645 787
426 -586 757
451 -4847 1451
454 -1398 1148
455 -2473 2317
456 -2074 1274
457 -1779 1115
511 -680 1150
518 -645 787
526 -586 738
551 -4847 1320
554 -1398 1148
555 -2547 2317
556 -2074 1274
557 -1773 1115
611 -680 1134
618 -645 787
626 -554 738
651 -4847 1138
654 -1398 1148
655 -2547 2317
656 -2074 1274
657 -1766 1115
711 -680 1131
718 -645 787
726 -577 738
751 -4888 1229
754 -1398 1148
755 -2547 2317
756 -2074 1274
757 -1789 1057
811 -680 1131
818 -645 787
826 -577 760
851 -4888 1238
854 -1398 1148
855 -2547 2317
856 -2074 1274
857 -1789 1057
911 -680 1131
918 -641 787
926 -577 760
951 -4888 1231
954 -1387 1148
955 -2547 2317
956 -2091 1274
957 -1789 1062
1011 -679 1131
1018 -641 770
1026 -577 760
1051 -4888 1231
1054 -1387 1148
1055 -2481 2293
1056 -2091 1274
1057 -1789 1062
1111 -679 1134
1118 -641 770
1126 -586 760
1151 -4888 1231
1154 -1384 1148
1155 -2481 2293
1156 -2091 1274
1157 -1789 1100
1211 -687 1119
1218 -641 797
1226 -586 760
1251 -4888 1231
1254 -1384 1111
1255 -2481 2293
1256 -2091 1274
1257 -1789 1100
1311 -687 1149
1318 -641 770
1326 -586 760
1351 -4888 1231
1354 -1384 1111
1355 -2481 2317
1356 -2091 1274
1357 -1789 1100
1411 -687 1152
1418 -641 770
1426 -586 760
1451 -4888 1238
1454 -1384 1111
1455 -2481 2317
1456 -2062 1274
1457 -1789 1100
