x
0 1
10 -522 667
11 -707 1114
12 -684 835
13 -629 667
15 -697 747
18 -588 780
20 -655 940
21 -663 855
22 -626 872
23 -569 701
24 -603 752
25 -534 734
26 -506 723
55 -2508 1941
56 -2054 1254
110 -522 667
111 -707 1114
112 -684 835
113 -629 710
115 -697 728
118 -588 690
120 -655 881
121 -663 785
122 -626 872
123 -569 653
124 -603 752
125 -534 734
126 -465 698
155 -2435 1941
156 -2066 1195
210 -522 667
211 -707 1123
212 -675 835
213 -645 687
215 -671 728
218 -573 738
220 -655 940
221 -637 785
222 -626 866
223 -563 655
224 -605 811
225 -539 734
226 -484 714
255 -2435 1792
256 -2054 1162
310 -522 600
311 -630 1126
312 -675 775
313 -645 687
315 -662 749
318 -580 690
320 -592 831
321 -622 748
322 -626 866
323 -566 767
324 -616 811
325 -539 734
326 -471 707
355 -2435 1792
356 -2036 1162
410 -522 586
411 -632 1126
412 -675 734
413 -645 687
415 -660 749
418 -580 738
420 -592 853
421 -622 748
422 -626 866
423 -566 653
424 -616 826
425 -539 734
426 -484 772
455 -2435 2109
456 -2036 1162
510 -485 586
511 -667 1138
512 -663 805
513 -646 687
515 -660 749
518 -583 780
520 -609 940
521 -626 748
522 -618 866
523 -568 672
524 -621 826
525 -539 676
526 -471 707
555 -2418 2109
556 -2036 1143
610 -550 586
611 -667 1149
612 -698 805
613 -684 687
615 -656 749
618 -623 675
620 -609 948
621 -643 786
622 -672 866
623 -609 518
624 -663 826
625 -517 727
626 -471 772
655 -2418 2109
656 -2036 1143
710 -550 511
711 -659 1149
712 -698 724
713 -684 687
715 -665 737
718 -623 677
720 -565 828
721 -643 786
722 -672 866
723 -609 655
724 -663 826
725 -517 599
726 -484 625
755 -2418 2109
756 -1909 1143
810 -550 578
811 -632 1149
812 -698 724
813 -684 640
815 -667 737
818 -623 627
820 -565 880
821 -643 771
822 -672 866
823 -609 698
824 -663 826
825 -530 727
826 -462 707
855 -2418 2109
856 -1909 1164
910 -478 578
911 -659 1149
912 -705 733
913 -684 640
915 -715 737
918 -623 706
920 -565 880
921 -681 771
922 -639 842
923 -609 599
924 -663 777
925 -541 664
926 -462 686
955 -2316 1821
956 -1896 1210
1900 3 10
2000 -9.25596e+061 25.5
