x
0 1
11 -675 1111
20 -621 912
21 -663 792
22 -692 856
23 -596 804
26 -498 659
52 -3060 1221
54 -1336 1106
55 -2457 2136
56 -2029 1187
57 -1723 1028
111 -676 1100
120 -604 912
121 -660 816
122 -634 867
123 -571 790
126 -488 664
152 -3072 1200
154 -1302 1128
155 -2280 2254
156 -2009 1169
157 -1610 1028
211 -662 1136
220 -610 954
221 -665 807
222 -659 881
223 -600 790
226 -507 714
252 -3118 1305
254 -1298 1106
255 -2453 1912
256 -1992 1231
257 -1719 1052
311 -669 1136
320 -612 912
321 -699 817
322 -695 846
323 -624 790
326 -562 690
352 -3330 1324
354 -1388 1106
355 -2416 2093
356 -2104 1129
357 -1738 1028
411 -659 1117
420 -591 988
421 -677 819
422 -676 862
423 -625 812
426 -528 714
452 -3333 1266
454 -1380 1106
455 -2394 2040
456 -1976 1239
457 -1764 1048
511 -674 1111
520 -573 912
521 -659 798
522 -664 856
523 -596 790
526 -498 659
552 -3060 1221
554 -1303 1106
555 -2244 1878
556 -2029 1275
557 -1727 1028
611 -676 1107
620 -604 819
621 -665 816
622 -634 852
623 -566 790
626 -488 664
652 -3079 1185
654 -1313 1106
655 -2280 2254
656 -1941 1175
657 -1622 1028
711 -665 1158
720 -610 954
721 -665 807
722 -659 881
723 -623 789
726 -507 714
752 -3330 1254
754 -1384 1001
755 -2453 2024
756 -1992 1198
757 -1719 1120
811 -649 1108
820 -614 904
821 -634 829
822 -665 846
823 -588 789
826 -531 712
852 -2988 1198
854 -1278 1085
855 -2416 2297
856 -2037 1199
857 -1580 1036
911 -659 1158
920 -616 988
921 -677 836
922 -712 841
923 -625 754
926 -559 754
952 -3333 1363
954 -1384 1091
955 -2394 2297
956 -1963 1239
957 -1764 1028
1011 -674 1134
1020 -631 872
1021 -680 834
1022 -649 858
1023 -592 845
1026 -497 760
1052 -3075 1326
1054 -1294 1060
1055 -2412 2297
1056 -1962 1275
1057 -1727 1028
1111 -632 1107
1120 -585 819
1121 -704 828
1122 -703 854
1123 -591 824
1126 -572 657
1152 -3178 1321
1154 -1376 1088
1155 -2387 2297
1156 -1958 1175
1157 -1799 1019
1211 -665 1158
1220 -610 908
1221 -666 802
1222 -664 859
1223 -623 754
1226 -521 642
1252 -3330 1321
1254 -1384 1076
1255 -2337 2297
1256 -1992 1246
1257 -1684 1120
1311 -624 1127
1320 -614 893
1321 -653 829
1322 -643 859
1323 -588 754
1326 -510 712
1352 -3155 1321
1354 -1299 1085
1355 -2416 2297
1356 -2037 1199
1357 -1634 1036
1411 -614 1158
1420 -616 939
1421 -677 836
1422 -712 865
1423 -623 754
1426 -559 754
1452 -3330 1363
1454 -1384 1091
1455 -2520 2297
1456 -1963 1239
1457 -1764 983
2000 -7.40477e+062 55.26
