x
0 1
10 -578 682
11 -693 1141
12 -756 829
13 -696 746
15 -704 756
18 -639 741
20 -643 1036
21 -699 840
22 -695 882
23 -624 812
24 -675 847
25 -597 703
26 -562 760
55 -2549 2136
56 -2025 1242
110 -578 682
111 -693 1141
112 -756 829
113 -696 743
115 -704 756
118 -639 741
120 -643 1036
121 -699 840
122 -695 882
123 -624 812
124 -675 847
125 -597 703
126 -562 760
155 -2549 2136
156 -2025 1242
210 -578 682
211 -693 1141
212 -719 829
213 -696 746
215 -704 756
218 -639 741
220 -643 1036
221 -663 840
222 -692 882
223 -624 812
224 -675 847
225 -573 705
226 -524 760
255 -2549 2130
256 -2104 1234
310 -578 682
311 -691 1141
312 -756 829
313 -696 746
315 -698 756
318 -639 741
320 -643 959
321 -699 840
322 -695 882
323 -624 804
324 -675 844
325 -597 705
326 -562 760
355 -2549 2136
356 -2029 1242
410 -578 658
411 -693 1136
412 -756 829
413 -696 746
415 -704 756
418 -639 751
420 -643 1036
421 -699 840
422 -695 882
423 -624 812
424 -675 847
425 -597 705
426 -562 760
455 -2549 2136
456 -2104 1242
510 -578 658
511 -693 1141
512 -719 829
513 -696 746
515 -704 756
518 -639 783
520 -643 1036
521 -665 840
522 -692 882
523 -625 812
524 -675 847
525 -573 705
526 -528 760
555 -2549 2136
556 -2104 1234
610 -578 658
611 -691 1141
612 -756 829
613 -692 746
615 -689 746
618 -638 783
620 -643 988
621 -699 819
622 -695 882
623 -625 804
624 -672 844
625 -597 705
626 -562 760
655 -2549 2254
656 -2029 1234
710 -578 658
711 -693 1136
712 -756 813
713 -696 746
715 -704 746
718 -639 783
720 -621 1036
721 -699 819
722 -695 881
723 -625 812
724 -675 847
725 -597 705
726 -562 760
755 -2457 2254
756 -2104 1234
810 -573 658
811 -693 1158
812 -756 813
813 -700 746
815 -704 746
818 -639 783
820 -612 1036
821 -699 819
822 -695 881
823 -625 812
824 -676 847
825 -597 705
826 -562 760
855 -2453 2136
856 -2104 1234
910 -578 652
911 -693 1158
912 -756 813
913 -700 755
915 -704 744
918 -638 783
920 -621 1036
921 -699 829
922 -695 881
923 -625 812
924 -676 847
925 -597 705
926 -562 760
955 -2457 2254
956 -2104 1239
1900 2 10
2000 -5.55358e+062 24.5
