x
0 1
10 -498 648
11 -603 1147
12 -664 765
13 -670 643
15 -648 733
17 -661 621
18 -590 766
19 -652 611
20 -548 747
21 -616 802
22 -645 865
23 -589 737
24 -620 763
25 -513 615
26 -486 623
27 -598 674
55 -2256 1803
110 -519 556
111 -619 1147
112 -704 765
113 -670 643
115 -674 733
117 -661 642
118 -598 649
119 -652 611
120 -562 850
121 -646 698
122 -645 865
123 -589 768
124 -615 763
125 -554 560
126 -507 673
127 -598 674
155 -2521 1803
210 -519 556
211 -638 1147
212 -704 765
213 -670 663
215 -674 733
217 -661 708
218 -598 707
219 -652 611
220 -562 847
221 -646 796
222 -645 863
223 -589 768
224 -615 795
225 -554 611
226 -507 673
227 -598 674
255 -2521 1711
310 -457 648
311 -590 1147
312 -685 777
313 -670 659
315 -674 733
317 -671 708
318 -598 697
319 -662 608
320 -560 874
321 -642 823
322 -607 863
323 -589 768
324 -615 698
325 -554 611
326 -471 673
327 -602 646
355 -2327 1711
410 -457 556
411 -621 1147
412 -685 765
413 -670 659
415 -674 700
417 -618 595
418 -598 657
419 -595 615
420 -513 730
421 -642 823
422 -607 863
423 -589 871
424 -618 803
425 -554 611
426 -471 673
427 -576 646
455 -2256 1990
1900 1 5
2000 -9.25596e+061 16.4
