x
0 1
11 -653 1136
18 -639 623
26 -477 697
51 -4784 928
54 -1388 997
55 -2429 2136
56 -2009 1163
57 -1561 947
111 -653 1136
118 -639 699
126 -477 697
151 -4784 985
154 -1388 977
155 -2256 2136
156 -2009 1179
157 -1590 948
211 -653 1136
218 -639 741
226 -457 714
251 -4784 705
254 -1388 978
255 -2256 2136
256 -2009 1183
257 -1590 948
311 -636 1136
318 -615 699
326 -514 714
351 -4621 931
354 -1303 991
355 -2356 1878
356 -2021 1183
357 -1700 948
411 -636 1136
418 -615 699
426 -514 760
451 -4621 781
454 -1303 1106
455 -2356 2005
456 -2021 1198
457 -1700 948
511 -636 1136
518 -638 699
526 -514 669
551 -4753 1096
554 -1380 978
555 -2356 1891
556 -2021 1198
557 -1700 890
611 -636 1136
618 -638 653
626 -514 669
651 -4753 985
654 -1380 978
655 -2356 1838
656 -2021 1234
657 -1700 896
711 -633 1136
718 -638 653
726 -489 751
751 -4753 786
754 -1380 1013
755 -2303 1829
756 -1914 1216
757 -1636 884
811 -681 1158
818 -638 640
826 -481 751
851 -4753 954
854 -1384 1070
855 -2416 1874
856 -2037 1216
857 -1636 1013
911 -681 1158
918 -638 691
926 -481 751
951 -4753 853
954 -1384 1050
955 -2416 1844
956 -2037 1183
957 -1636 1013
