x
0 1
10 -510 658
11 -656 1123
12 -680 762
13 -620 732
14 -666 797
15 -669 749
16 -611 961
18 -563 775
20 -600 959
21 -633 873
22 -631 852
23 -548 753
24 -602 811
25 -539 697
26 -498 714
28 -733 1241
29 -630 869
56 -2066 1201
110 -510 658
111 -667 1123
112 -680 805
113 -615 732
114 -666 860
115 -679 749
116 -636 961
118 -573 780
120 -609 897
121 -639 873
122 -631 852
123 -563 811
124 -599 798
125 -540 697
126 -498 763
128 -733 1241
129 -630 869
156 -2001 1201
210 -510 662
211 -656 1123
212 -680 762
213 -610 732
214 -666 761
215 -679 739
216 -612 948
218 -564 775
220 -600 940
221 -639 873
222 -645 852
223 -544 811
224 -586 798
225 -540 697
226 -498 763
228 -733 1241
229 -630 880
256 -2001 1201
310 -530 662
311 -637 1138
312 -672 775
313 -646 732
314 -640 914
315 -680 732
316 -612 1052
318 -623 780
320 -561 937
321 -649 873
322 -682 852
323 -629 858
324 -621 798
325 -549 688
326 -518 716
328 -685 1241
329 -596 872
356 -1916 1201
410 -530 662
411 -677 1135
412 -672 705
413 -641 732
414 -640 914
415 -680 736
416 -612 1073
418 -623 701
420 -555 853
421 -649 851
422 -682 852
423 -629 858
424 -617 844
425 -550 688
426 -523 683
428 -679 1229
429 -596 872
456 -1916 1176
510 -545 662
511 -677 1140
512 -684 705
513 -653 767
514 -640 914
515 -685 732
516 -612 1052
518 -633 780
520 -555 843
521 -649 851
522 -694 852
523 -636 858
524 -629 844
525 -561 544
526 -533 772
528 -679 1241
529 -596 872
556 -1916 1176
610 -545 662
611 -677 1140
612 -684 705
613 -653 767
614 -638 907
615 -685 732
616 -650 990
618 -633 728
620 -520 843
621 -649 818
622 -694 823
623 -636 858
624 -629 844
625 -561 568
626 -533 683
628 -656 1099
629 -559 957
656 -1844 1176
710 -545 635
711 -677 1135
712 -684 819
713 -645 767
714 -645 907
715 -677 732
716 -612 990
718 -633 728
720 -593 847
721 -642 818
722 -694 837
723 -636 858
724 -617 844
725 -561 727
726 -533 668
728 -722 1236
729 -599 957
756 -1844 1184
810 -545 636
811 -677 1135
812 -700 819
813 -645 767
814 -645 907
815 -691 686
816 -643 989
818 -633 728
820 -593 853
821 -670 818
822 -694 823
823 -636 858
824 -617 844
825 -564 598
826 -533 668
828 -722 1263
829 -599 957
856 -1844 1184
910 -545 680
911 -677 1135
912 -700 819
913 -645 767
914 -645 907
915 -691 682
916 -643 989
918 -633 728
920 -593 847
921 -670 799
922 -694 823
923 -636 788
924 -617 844
925 -564 598
926 -533 668
928 -722 1236
929 -599 957
956 -1755 1136
