x
0 1
11 -630 1124
14 -644 852
20 -583 910
21 -641 851
22 -645 821
23 -575 821
26 -499 740
28 -692 1159
29 -609 739
52 -3011 1204
53 -1748 1221
54 -1263 924
56 -1986 1235
57 -1647 808
111 -630 1124
114 -644 852
120 -583 940
121 -641 793
122 -640 773
123 -575 821
126 -492 740
128 -692 1226
129 -609 919
152 -3011 1066
153 -1748 1221
154 -1263 1012
156 -1986 1235
157 -1647 876
211 -630 1124
214 -644 852
220 -583 811
221 -647 793
222 -640 760
223 -575 607
226 -492 740
228 -692 1226
229 -609 919
252 -3011 1309
253 -1748 1069
254 -1270 990
256 -1986 1222
257 -1649 883
311 -630 1124
314 -644 852
320 -583 937
321 -647 686
322 -640 749
323 -575 602
326 -492 731
328 -692 1241
329 -609 919
352 -3011 1309
353 -1748 1069
354 -1270 957
356 -1986 1222
357 -1649 973
411 -589 1124
414 -635 748
420 -570 835
421 -647 855
422 -640 837
423 -575 655
426 -492 707
428 -672 1178
429 -609 964
452 -3066 1066
453 -1799 1069
454 -1270 937
456 -1979 1222
457 -1649 973
511 -621 1138
514 -635 814
520 -570 835
521 -649 674
522 -640 847
523 -586 555
526 -492 639
528 -656 1178
529 -609 964
552 -3141 1066
553 -1852 1069
554 -1292 937
556 -1979 1241
557 -1592 973
611 -621 1136
614 -635 827
620 -514 853
621 -664 741
622 -640 847
623 -596 569
626 -492 639
628 -656 1178
629 -605 964
652 -3192 1293
653 -1884 1051
654 -1308 937
656 -1766 1267
657 -1592 973
711 -649 1136
714 -666 747
720 -618 811
721 -611 763
722 -616 847
723 -578 647
726 -499 614
728 -700 1204
729 -658 910
752 -3105 1293
753 -1813 1004
754 -1292 1104
756 -2125 1241
757 -1587 973
811 -649 984
814 -642 745
820 -579 667
821 -611 763
822 -591 847
823 -553 698
826 -451 582
828 -700 1189
829 -618 847
852 -2977 1341
853 -1760 1078
854 -1217 1071
856 -1870 1178
857 -1587 991
911 -649 1069
914 -643 797
920 -578 667
921 -611 763
922 -591 812
923 -534 577
926 -459 588
928 -700 1255
929 -627 847
952 -2810 1215
953 -1691 1004
954 -1198 1071
956 -1850 1165
957 -1587 951
