x
0 1
10 -556 669
11 -638 1166
14 -683 899
15 -705 746
16 -653 1059
18 -661 766
20 -570 893
21 -679 828
22 -711 865
23 -646 737
24 -699 795
25 -579 637
26 -545 657
28 -695 1282
29 -616 962
54 -1431 1080
56 -1951 1246
110 -605 669
111 -676 1166
114 -685 899
115 -710 746
116 -660 1047
118 -663 707
120 -571 893
121 -720 793
122 -728 865
123 -648 768
124 -701 795
125 -627 589
126 -563 696
128 -695 1264
129 -613 962
154 -1434 1191
156 -1951 1277
210 -605 648
211 -705 1166
214 -705 897
215 -710 746
216 -660 1036
218 -663 704
220 -585 1036
221 -720 796
222 -728 870
223 -648 768
224 -701 795
225 -627 664
226 -563 696
228 -779 1264
229 -656 962
254 -1434 1191
256 -1957 1277
310 -605 684
311 -705 1166
314 -705 870
315 -710 746
316 -662 1036
318 -663 707
320 -585 1036
321 -720 831
322 -728 870
323 -648 768
324 -701 774
325 -627 623
326 -563 696
328 -779 1264
329 -656 962
354 -1434 1192
356 -1957 1277
410 -605 684
411 -705 1166
414 -705 870
415 -710 727
416 -662 1036
418 -663 697
420 -585 1036
421 -720 831
422 -728 870
423 -648 871
424 -701 803
425 -627 664
426 -563 708
428 -779 1264
429 -656 962
454 -1434 1192
456 -1957 1277
1900 1 5
2000 -1.85119e+062 22.2
