x
0 1
10 -514 585
11 -610 986
12 -703 784
13 -597 718
14 -638 846
15 -665 710
16 -602 849
18 -601 754
20 -601 651
21 -651 752
22 -664 868
23 -540 746
24 -580 750
25 -539 604
26 -518 718
28 -722 1267
29 -568 869
56 -1959 1241
110 -514 578
111 -610 964
112 -703 708
113 -597 718
114 -622 846
115 -665 749
116 -599 849
118 -601 771
120 -601 655
121 -651 752
122 -664 823
123 -531 696
124 -580 721
125 -534 556
126 -518 657
128 -722 1267
129 -613 870
156 -1988 1232
210 -514 634
211 -610 1037
212 -703 708
213 -597 626
214 -641 855
215 -665 749
216 -599 948
218 -601 771
220 -601 982
221 -651 752
222 -664 829
223 -555 696
224 -580 731
225 -534 527
226 -518 579
228 -722 1267
229 -630 842
256 -1988 1232
310 -514 658
311 -604 1139
312 -703 749
313 -650 710
314 -662 846
315 -665 685
316 -611 927
318 -601 711
320 -601 761
321 -651 774
322 -664 780
323 -572 789
324 -626 795
325 -534 647
326 -518 628
328 -722 1267
329 -625 842
356 -2066 1232
410 -514 658
411 -626 1139
412 -703 749
413 -650 732
414 -616 851
415 -671 687
416 -636 873
418 -601 711
420 -532 733
421 -651 752
422 -664 811
423 -572 789
424 -626 731
425 -534 634
426 -518 714
428 -661 1267
429 -598 851
456 -1823 1232
