x
0 1
10 -578 651
11 -653 1115
15 -704 744
20 -588 988
21 -663 773
22 -692 852
23 -600 787
25 -573 640
26 -528 659
52 -3060 1307
53 -1813 1423
54 -1336 1050
55 -2356 2136
56 -2019 1141
110 -573 621
111 -662 1136
115 -683 741
120 -578 758
121 -699 817
122 -695 837
123 -624 763
125 -597 630
126 -562 696
152 -3330 1324
153 -1942 1423
154 -1388 1016
155 -2329 2040
156 -1950 1219
210 -530 628
211 -675 1104
215 -676 734
220 -621 954
221 -631 695
222 -654 862
223 -571 709
225 -540 705
226 -510 664
252 -2995 1208
253 -1726 1336
254 -1269 1048
255 -2457 2254
256 -1959 1229
310 -511 658
311 -676 1158
315 -689 715
320 -573 959
321 -659 806
322 -664 867
323 -623 733
325 -556 643
326 -498 714
352 -3330 1208
353 -1946 1336
354 -1384 1016
355 -2324 1784
356 -1950 1195
410 -545 619
411 -674 1131
415 -665 721
420 -591 902
421 -623 819
422 -665 881
423 -625 697
425 -525 601
426 -531 714
452 -3333 1266
453 -1953 1336
454 -1380 1016
455 -2453 2093
456 -2029 1216
510 -493 611
511 -669 1158
515 -686 727
520 -582 801
521 -643 798
522 -642 856
523 -623 720
525 -548 668
526 -497 690
552 -3330 1221
553 -1946 1336
554 -1384 1024
555 -2324 1812
556 -1950 1170
610 -498 654
611 -622 1041
615 -692 737
620 -612 904
621 -665 770
622 -656 827
623 -571 669
625 -564 673
626 -492 697
652 -3079 1310
653 -1778 1336
654 -1313 1044
655 -2255 1939
656 -2104 1191
710 -522 653
711 -674 1106
715 -660 744
720 -610 988
721 -626 816
722 -676 846
723 -600 785
725 -557 662
726 -528 713
752 -3033 1310
753 -1749 1336
754 -1302 1085
755 -2303 2024
756 -1992 1183
810 -469 658
811 -616 1103
815 -683 741
820 -596 939
821 -652 829
822 -638 839
823 -592 763
825 -512 630
826 -458 682
852 -3056 1310
853 -1759 1134
854 -1302 1091
855 -2416 2077
856 -2037 1217
910 -530 573
911 -633 1131
915 -704 727
920 -586 954
921 -677 728
922 -640 852
923 -589 824
925 -580 578
926 -476 632
952 -3196 1310
953 -1850 1133
954 -1346 1048
955 -2303 2254
956 -1950 1239
1010 -481 640
1011 -649 1158
1015 -689 733
1020 -603 841
1021 -651 705
1022 -623 858
1023 -623 845
1025 -540 643
1026 -469 632
1052 -3330 1310
1053 -1946 1297
1054 -1384 1020
1055 -2412 1850
1056 -1950 1275
1110 -545 638
1111 -659 1149
1115 -695 741
1120 -591 893
1121 -647 748
1122 -712 859
1123 -622 722
1125 -532 618
1126 -559 754
1152 -3024 1310
1153 -1817 1182
1154 -1325 1020
1155 -2394 1858
1156 -1976 1217
1210 -493 669
1211 -644 1158
1215 -692 723
1220 -554 893
1221 -680 798
1222 -646 847
1223 -623 722
1225 -575 662
1226 -485 632
1252 -3330 1363
1253 -1946 1128
1254 -1384 1050
1255 -2324 1891
1256 -1829 1218
1310 -586 648
1311 -644 1107
1315 -664 729
1320 -614 893
1321 -704 836
1322 -703 839
1323 -591 722
1325 -612 661
1326 -572 760
1352 -3178 1444
1353 -1802 1264
1354 -1376 1020
1355 -2520 1760
1356 -1925 1246
1410 -491 653
1411 -674 1106
1415 -684 701
1420 -616 908
1421 -655 828
1422 -698 839
1423 -609 722
1425 -538 662
1426 -509 713
1452 -3033 1444
1453 -1749 1127
1454 -1288 1088
1455 -2226 2024
1456 -1963 1252
2000 -54.11 20.75
