x
0 1
11 -679 1165
14 -687 884
20 -632 1040
21 -666 769
22 -662 877
23 -645 855
26 -521 734
28 -761 1239
29 -636 953
53 -2013 1410
54 -1430 1145
56 -1999 1257
57 -1735 1154
111 -679 1165
114 -687 884
120 -632 1012
121 -666 832
122 -664 868
123 -645 855
126 -521 734
128 -761 1269
129 -636 953
153 -2013 1410
154 -1430 1021
156 -1999 1271
157 -1735 1154
211 -679 1165
214 -683 886
220 -624 1012
221 -666 832
222 -664 868
223 -645 855
226 -521 734
228 -754 1269
229 -652 953
253 -2013 1392
254 -1430 1195
256 -2107 1271
257 -1751 1154
311 -679 1165
314 -679 886
320 -613 1012
321 -666 839
322 -664 868
323 -645 821
326 -521 721
328 -746 1253
329 -652 953
353 -2013 1431
354 -1430 1195
356 -2107 1274
357 -1751 1161
411 -671 1165
414 -679 886
420 -618 1012
421 -666 852
422 -664 868
423 -645 789
426 -513 718
428 -746 1253
429 -659 953
453 -2013 1431
454 -1430 1195
456 -2107 1274
457 -1751 1161
1900 1 5
2000 -1.85119e+062 19.1
