x
0 1
10 -550 686
11 -704 1150
12 -726 821
13 -689 767
14 -708 895
15 -715 754
16 -651 1084
18 -651 791
20 -645 977
21 -677 871
22 -700 883
23 -652 867
24 -675 832
25 -586 706
26 -552 765
28 -768 1271
29 -668 977
56 -2083 1306
110 -550 685
111 -704 1150
112 -726 821
113 -689 765
114 -689 895
115 -715 753
116 -651 1084
118 -651 797
120 -643 977
121 -677 871
122 -700 883
123 -652 863
124 -675 834
125 -586 714
126 -552 765
128 -751 1271
129 -668 977
156 -2083 1306
210 -550 685
211 -700 1150
212 -726 821
213 -689 765
214 -689 910
215 -715 749
216 -651 1084
218 -651 791
220 -643 977
221 -677 858
222 -700 883
223 -652 867
224 -675 823
225 -586 706
226 -552 753
228 -751 1271
229 -668 975
256 -2083 1281
310 -550 685
311 -704 1150
312 -726 821
313 -688 775
314 -685 894
315 -695 754
316 -666 1084
318 -651 791
320 -629 976
321 -675 877
322 -700 883
323 -652 867
324 -651 834
325 -586 706
326 -552 765
328 -740 1271
329 -668 977
356 -2083 1306
410 -550 685
411 -704 1135
412 -726 821
413 -689 775
414 -685 899
415 -715 752
416 -651 1084
418 -651 797
420 -629 1003
421 -677 877
422 -700 872
423 -652 867
424 -675 834
425 -586 706
426 -552 765
428 -725 1271
429 -668 977
456 -2083 1281
510 -550 685
511 -704 1135
512 -735 821
513 -689 765
514 -685 917
515 -715 752
516 -651 1084
518 -651 791
520 -610 976
521 -677 877
522 -700 872
523 -652 867
524 -675 834
525 -587 706
526 -562 765
528 -740 1271
529 -645 977
556 -2040 1306
610 -550 674
611 -704 1135
612 -735 821
613 -689 775
614 -685 894
615 -715 754
616 -651 1069
618 -651 797
620 -629 1008
621 -677 871
622 -700 872
623 -652 867
624 -675 835
625 -587 699
626 -562 765
628 -740 1270
629 -668 977
656 -2083 1306
710 -550 685
711 -704 1144
712 -726 821
713 -689 775
714 -680 910
715 -715 749
716 -651 1084
718 -651 791
720 -629 1008
721 -677 877
722 -700 872
723 -652 867
724 -675 835
725 -586 690
726 -552 765
728 -740 1271
729 -668 977
756 -2083 1306
810 -527 685
811 -704 1144
812 -735 821
813 -689 775
814 -685 894
815 -715 752
816 -666 1084
818 -651 791
820 -595 1008
821 -677 877
822 -700 872
823 -652 867
824 -675 834
825 -587 699
826 -562 765
828 -740 1271
829 -636 946
856 -2040 1306
910 -547 685
911 -704 1144
912 -735 822
913 -665 775
914 -685 894
915 -715 753
916 -651 1084
918 -651 797
920 -614 1008
921 -677 877
922 -700 872
923 -652 867
924 -640 835
925 -587 699
926 -562 765
928 -751 1271
929 -632 976
956 -2047 1306
1010 -515 685
1011 -704 1144
1012 -735 819
1013 -654 775
1014 -698 889
1015 -715 752
1016 -651 1084
1018 -642 791
1020 -605 1008
1021 -677 877
1022 -695 868
1023 -638 867
1024 -640 835
1025 -587 699
1026 -562 765
1028 -732 1270
1029 -636 954
1056 -2057 1306
1110 -527 685
1111 -704 1144
1112 -735 819
1113 -665 775
1114 -698 894
1115 -715 752
1116 -651 1084
1118 -651 791
1120 -605 1008
1121 -677 877
1122 -700 868
1123 -652 863
1124 -640 835
1125 -587 699
1126 -562 765
1128 -732 1270
1129 -636 968
1156 -2057 1306
1210 -530 685
1211 -687 1143
1212 -735 808
1213 -665 775
1214 -698 894
1215 -715 746
1216 -651 1084
1218 -651 797
1220 -605 959
1221 -677 877
1222 -700 871
1223 -652 863
1224 -627 835
1225 -587 699
1226 -562 765
1228 -719 1270
1229 -636 959
1256 -2057 1306
1310 -517 685
1311 -687 1134
1312 -735 819
1313 -665 775
1314 -698 894
1315 -715 754
1316 -666 1084
1318 -651 781
1320 -605 1008
1321 -677 877
1322 -700 871
1323 -652 863
1324 -627 835
1325 -587 690
1326 -562 752
1328 -732 1270
1329 -636 968
1356 -2046 1306
1410 -553 685
1411 -687 1133
1412 -735 830
1413 -665 775
1414 -698 894
1415 -706 746
1416 -640 1084
1418 -651 781
1420 -622 1003
1421 -670 877
1422 -700 871
1423 -652 864
1424 -627 835
1425 -587 690
1426 -562 765
1428 -738 1244
1429 -636 968
1456 -2057 1306
