x
0 1
11 -622 1117
18 -638 589
26 -497 610
51 -4753 954
54 -1380 987
55 -2264 1829
56 -1876 1183
57 -1580 1120
111 -619 1100
118 -577 648
126 -497 630
151 -3943 911
154 -1194 967
155 -2287 1829
156 -1976 1183
157 -1580 1120
211 -635 1075
218 -577 610
226 -497 564
251 -3943 973
254 -1194 967
255 -2387 1614
256 -1976 1183
257 -1580 1120
311 -635 1075
318 -577 691
326 -497 604
351 -3943 846
354 -1224 981
355 -2416 1614
356 -2037 1183
357 -1580 1120
411 -632 1075
418 -531 541
426 -458 754
451 -4180 797
454 -1248 1088
455 -2387 1483
456 -1976 1158
457 -1525 1120
511 -632 1075
518 -591 650
526 -484 754
551 -4411 1095
554 -1284 1088
555 -2387 1635
556 -1976 1275
557 -1616 1120
611 -632 1075
618 -607 600
626 -478 754
651 -4231 849
654 -1288 1088
655 -2387 1751
656 -1976 1201
657 -1569 871
711 -632 1127
718 -607 704
726 -521 754
751 -4393 690
754 -1288 1076
755 -2387 2297
756 -1932 1208
757 -1569 938
811 -632 1127
818 -607 704
826 -521 657
851 -4393 844
854 -1288 1076
855 -2301 2169
856 -1932 1208
857 -1607 850
911 -603 1127
918 -607 704
926 -521 657
951 -4393 1314
954 -1288 1076
955 -2301 2169
956 -1963 1277
957 -1558 826
