x
0 1
10 -533 648
11 -679 1165
12 -707 816
13 -723 727
14 -687 850
15 -676 729
17 -668 662
19 -695 647
20 -632 1027
21 -639 769
22 -662 874
23 -645 821
25 -552 644
26 -521 726
27 -643 674
28 -761 1158
29 -636 953
53 -2013 1223
110 -533 592
111 -679 1165
112 -707 816
113 -723 727
114 -687 850
115 -667 724
117 -649 661
119 -695 647
120 -632 864
121 -639 769
122 -662 855
123 -645 807
125 -552 658
126 -521 730
127 -643 664
128 -761 1204
129 -636 953
153 -2013 1223
210 -533 592
211 -679 1165
212 -707 807
213 -723 697
214 -658 850
215 -667 724
217 -648 661
219 -679 647
220 -588 925
221 -639 745
222 -662 855
223 -645 724
225 -552 607
226 -521 598
227 -630 664
228 -733 1239
229 -614 953
253 -2013 1223
310 -533 592
311 -664 1165
312 -707 807
313 -723 697
314 -658 785
315 -689 730
317 -648 698
319 -679 618
320 -588 925
321 -653 745
322 -662 824
323 -645 724
325 -552 640
326 -521 718
327 -630 664
328 -727 1158
329 -591 953
353 -2013 1431
410 -479 700
411 -664 1165
412 -707 807
413 -723 697
414 -677 886
415 -664 706
417 -629 662
419 -626 599
420 -561 804
421 -636 721
422 -664 856
423 -645 821
425 -540 571
426 -467 631
427 -597 664
428 -688 1253
429 -605 953
453 -2013 1431
1900 1 5
2000 -1.85119e+062 19.1
