x
0 1
11 -591 1039
20 -497 690
21 -575 802
22 -590 855
23 -528 569
26 -448 459
52 -2819 788
54 -1181 1060
55 -2271 1689
56 -1698 1105
57 -1431 983
111 -600 1007
120 -523 718
121 -642 609
122 -657 825
123 -609 562
126 -478 621
152 -3057 1290
154 -1324 979
155 -2141 1338
156 -1785 1217
157 -1696 712
211 -638 1101
220 -525 642
221 -666 506
222 -618 688
223 -574 736
226 -423 615
252 -3114 1174
254 -1313 914
255 -1968 1765
256 -1814 1135
257 -1684 904
311 -580 439
320 -542 874
321 -637 651
322 -599 814
323 -564 508
326 -445 652
352 -2976 845
354 -1252 1009
355 -2099 1739
356 -1711 1141
357 -1509 831
411 -599 1108
420 -506 644
421 -677 664
422 -698 727
423 -576 715
426 -434 550
452 -3162 1174
454 -1344 994
455 -2021 1648
456 -1786 1217
457 -1604 717
511 -620 1110
520 -507 620
521 -680 421
522 -645 851
523 -569 749
526 -540 673
552 -3142 982
554 -1332 923
555 -2162 1251
556 -1792 1160
557 -1632 714
611 -601 1094
620 -553 578
621 -635 445
622 -615 870
623 -548 654
626 -441 674
652 -2885 1116
654 -1263 911
655 -2387 1836
656 -1673 1244
657 -1528 899
711 -605 414
720 -575 776
721 -643 546
722 -591 861
723 -572 624
726 -433 540
752 -3040 928
754 -1226 996
755 -2270 1630
756 -1941 1157
757 -1461 829
811 -617 939
820 -496 663
821 -638 600
822 -611 829
823 -531 690
826 -435 656
852 -2698 1023
854 -1173 930
855 -2055 1908
856 -1642 1147
857 -1481 920
911 -638 1114
920 -501 618
921 -623 715
922 -582 855
923 -522 643
926 -425 619
952 -2847 926
954 -1217 1113
955 -2269 1478
956 -1721 1204
957 -1571 1183
2000 -9.25596e+061 29.66
