x
0 1
11 -600 1140
14 -627 851
20 -564 954
21 -631 777
22 -712 800
23 -577 691
26 -559 501
28 -686 1237
29 -580 856
52 -3100 1222
53 -1808 1203
54 -1325 1061
56 -1810 1138
57 -1600 1013
111 -599 977
114 -638 874
120 -570 646
121 -680 678
122 -646 834
123 -571 736
126 -469 589
128 -646 1235
129 -552 923
152 -2902 1274
153 -1702 1249
154 -1223 1061
156 -1810 1239
157 -1578 859
211 -608 1136
214 -624 854
220 -553 913
221 -630 691
222 -669 834
223 -624 697
226 -510 613
228 -630 1220
229 -591 846
252 -3330 1326
253 -1942 1373
254 -1388 1037
256 -1917 1138
257 -1596 941
311 -614 1075
314 -625 878
320 -509 747
321 -624 802
322 -686 830
323 -597 812
326 -530 566
328 -629 1233
329 -536 872
352 -2801 1222
353 -1662 1249
354 -1303 1080
356 -1865 1154
357 -1747 881
411 -627 1131
414 -632 814
420 -545 521
421 -677 700
422 -637 842
423 -589 657
426 -445 670
428 -696 973
429 -557 780
452 -3162 1177
453 -1848 1249
454 -1344 1118
456 -1786 1144
457 -1604 1126
2000 -22.66 13.7
