x
0 1
11 -536 289
20 -497 610
21 -569 645
22 -587 855
23 -479 433
26 -379 459
52 -2573 902
53 -1536 1204
54 -1111 1060
55 -2271 1123
56 -1623 1055
57 -1431 653
111 -592 351
120 -523 718
121 -614 609
122 -657 391
123 -609 510
126 -478 396
152 -2935 1290
153 -1647 952
154 -1288 1003
155 -2084 1193
156 -1785 1115
157 -1505 747
211 -555 740
220 -525 755
221 -624 636
222 -618 780
223 -526 586
226 -423 367
252 -2731 1049
253 -1584 760
254 -1238 970
255 -1926 1765
256 -1814 1135
257 -1581 699
311 -580 375
320 -487 874
321 -637 783
322 -596 773
323 -564 659
326 -445 431
352 -2976 845
353 -1737 925
354 -1252 885
355 -1918 1739
356 -1571 1141
357 -1509 831
411 -585 1099
420 -475 644
421 -616 664
422 -589 826
423 -545 715
426 -434 586
452 -2934 898
453 -1721 864
454 -1219 994
455 -1909 1536
456 -1606 1217
457 -1558 660
511 -566 377
520 -473 498
521 -650 250
522 -645 851
523 -544 749
526 -540 609
552 -2971 1134
553 -1695 820
554 -1276 851
555 -2162 1349
556 -1621 1160
557 -1632 592
611 -592 1025
620 -553 697
621 -607 475
622 -592 870
623 -548 548
626 -437 674
652 -2832 1116
653 -1631 826
654 -1201 935
655 -2387 1836
656 -1673 1096
657 -1528 899
711 -605 970
720 -575 776
721 -623 379
722 -578 861
723 -498 459
726 -433 467
752 -2900 844
753 -1674 973
754 -1226 996
755 -2270 1630
756 -1941 1157
757 -1461 764
811 -596 1025
820 -472 277
821 -592 509
822 -554 681
823 -469 453
826 -381 656
852 -2698 1201
853 -1525 1380
854 -1173 801
855 -1821 1908
856 -1642 1147
857 -1352 920
911 -623 -44
920 -491 618
921 -623 715
922 -568 855
923 -506 643
926 -377 490
952 -2847 897
953 -1630 855
954 -1217 1113
955 -2004 1041
956 -1697 1151
957 -1571 840
2000 -34.82 26.5
