x
0 1
10 -533 682
11 -691 1135
12 -678 829
13 -659 704
15 -692 756
17 -714 726
18 -610 741
19 -710 621
20 -643 1036
21 -653 831
22 -674 863
23 -608 787
24 -648 821
25 -553 703
26 -524 760
27 -650 677
55 -2549 1903
110 -533 682
111 -691 1134
112 -678 829
113 -651 743
115 -692 756
117 -714 726
118 -603 734
119 -710 617
120 -643 1036
121 -653 811
122 -674 858
123 -608 790
124 -632 813
125 -553 703
126 -524 690
127 -650 696
155 -2549 2116
210 -533 682
211 -691 1134
212 -678 829
213 -651 743
215 -684 756
217 -725 712
218 -603 741
219 -716 617
220 -643 1036
221 -651 799
222 -674 867
223 -608 787
224 -632 786
225 -553 705
226 -524 701
227 -684 694
255 -2549 2093
310 -533 682
311 -691 1127
312 -681 829
313 -644 737
315 -676 756
317 -714 712
318 -608 734
319 -710 617
320 -643 1036
321 -634 819
322 -676 867
323 -608 791
324 -624 786
325 -545 705
326 -528 696
327 -684 669
355 -2549 2093
410 -533 658
411 -691 1126
412 -664 829
413 -644 737
415 -676 756
417 -714 712
418 -603 741
419 -710 602
420 -643 1036
421 -634 819
422 -638 867
423 -608 716
424 -616 827
425 -526 705
426 -516 760
427 -684 638
455 -2549 2093
510 -522 658
511 -691 1126
512 -664 829
513 -644 737
515 -651 756
517 -714 675
518 -608 697
519 -710 596
520 -643 1036
521 -630 819
522 -663 867
523 -602 790
524 -616 827
525 -545 635
526 -509 714
527 -684 696
555 -2549 2093
610 -507 600
611 -691 1126
612 -664 829
613 -644 737
615 -664 731
617 -697 672
618 -582 751
619 -702 602
620 -643 1036
621 -630 819
622 -637 882
623 -577 719
624 -616 827
625 -524 705
626 -495 714
627 -684 694
655 -2549 2093
710 -522 653
711 -675 1127
712 -664 812
713 -644 737
715 -671 732
717 -697 698
718 -608 751
719 -685 563
720 -621 1036
721 -631 819
722 -663 867
723 -602 791
724 -637 827
725 -545 668
726 -509 714
727 -684 669
755 -2457 2130
810 -491 632
811 -658 1136
812 -692 800
813 -696 730
815 -683 740
817 -674 693
818 -639 734
819 -667 602
820 -572 1036
821 -636 819
822 -638 867
823 -624 719
824 -675 827
825 -560 705
826 -488 760
827 -644 690
855 -2302 2130
910 -484 640
911 -693 1136
912 -700 785
913 -696 730
915 -704 740
917 -671 706
918 -639 734
919 -663 611
920 -591 1036
921 -677 819
922 -638 856
923 -624 790
924 -675 847
925 -580 668
926 -475 714
927 -615 696
955 -2394 2130
1900 2 10
2000 -4.62798e+062 24.6
