x
0 1
11 -534 289
12 -637 641
13 -588 394
14 -578 565
20 -473 524
21 -618 802
22 -592 847
23 -535 622
26 -349 269
28 -628 426
29 -506 579
53 -1712 929
56 -1560 1216
57 -1548 543
111 -592 459
112 -548 635
113 -498 512
114 -573 611
120 -518 718
121 -516 407
122 -563 819
123 -445 516
126 -316 400
128 -602 228
129 -499 528
153 -1395 1016
156 -1816 1003
157 -1292 729
211 -553 335
212 -636 687
213 -586 681
214 -572 699
220 -482 645
221 -597 706
222 -607 738
223 -539 731
226 -435 464
228 -622 376
229 -509 360
253 -1570 989
256 -1533 993
257 -1529 850
311 -513 213
312 -635 578
313 -497 595
314 -488 366
320 -354 349
321 -607 458
322 -582 685
323 -508 589
326 -411 421
328 -541 1061
329 -410 763
353 -1536 782
356 -1249 1043
357 -1346 799
411 -526 1067
412 -609 313
413 -576 471
414 -538 675
420 -481 644
421 -600 524
422 -551 801
423 -525 611
426 -359 420
428 -582 360
429 -521 710
453 -1675 901
456 -1695 1176
457 -1426 338
511 -564 305
512 -545 429
513 -602 368
514 -562 537
520 -464 449
521 -650 714
522 -517 729
523 -544 465
526 -540 279
528 -576 1123
529 -509 772
553 -1525 1142
556 -1617 1062
557 -1450 755
611 -705 0
612 -448 810
613 -382 479
614 -705 380
620 -444 548
621 -407 445
622 -437 772
623 -336 505
626 -447 578
628 -779 268
629 -656 424
653 -1109 1109
656 -1754 913
657 -1335 755
711 -605 1045
712 -664 362
713 -633 495
714 -676 757
720 -575 526
721 -653 379
722 -513 861
723 -473 660
726 -423 503
728 -687 537
729 -474 701
753 -1693 1185
756 -1789 1097
757 -1390 521
811 -596 767
812 -586 723
813 -502 545
814 -595 487
820 -433 678
821 -520 660
822 -548 799
823 -452 445
826 -381 708
828 -606 538
829 -510 849
853 -1323 697
856 -1642 878
857 -1196 569
911 -580 -95
912 -562 699
913 -487 634
914 -563 527
920 -434 431
921 -531 445
922 -490 841
923 -412 592
926 -321 260
928 -557 -198
929 -465 199
953 -1333 833
956 -1522 915
957 -1338 1022
2000 -25.48 21.66
