x
0 1
11 -679 1027
14 -683 859
26 -437 641
28 -754 991
29 -628 858
51 -4349 1107
52 -3163 1248
53 -1862 1410
54 -1301 1003
56 -1984 1257
57 -1705 946
111 -679 893
114 -683 859
126 -452 641
128 -754 1040
129 -628 772
151 -4403 789
152 -3163 1208
153 -1862 994
154 -1301 1015
156 -1984 1257
157 -1682 1154
211 -615 847
214 -627 817
226 -482 667
228 -684 1148
229 -616 951
251 -4349 872
252 -3163 1487
253 -1862 1166
254 -1301 1145
256 -1704 1257
257 -1643 1154
311 -629 1134
314 -627 817
326 -483 667
328 -670 1224
329 -616 951
351 -4517 948
352 -3168 1208
353 -1878 952
354 -1331 1036
356 -1916 1271
357 -1751 1154
411 -629 1134
414 -646 817
426 -475 721
428 -677 986
429 -637 951
451 -4517 842
452 -3172 1208
453 -1878 1053
454 -1304 785
456 -2063 1218
457 -1660 1154
