x
0 1
11 -603 629
14 -617 864
26 -530 657
28 -605 1242
29 -609 874
51 -4668 762
52 -3155 1247
53 -1856 1049
54 -1303 1076
56 -1816 1216
57 -1747 850
111 -575 1166
114 -631 864
126 -530 696
128 -652 983
129 -597 823
151 -4939 763
152 -3458 1174
153 -2024 1064
154 -1434 1076
156 -1816 1217
157 -1747 850
211 -651 1166
214 -677 804
226 -468 696
228 -684 1224
229 -601 912
251 -4939 608
252 -3458 1126
253 -2024 1203
254 -1434 1076
256 -1800 1277
257 -1725 850
311 -676 1166
314 -677 804
326 -563 696
328 -684 1264
329 -601 815
351 -4939 700
352 -3458 1260
353 -2024 1403
354 -1434 1192
356 -1898 1277
357 -1749 872
411 -705 1163
414 -705 866
426 -540 598
428 -779 1123
429 -656 815
451 -4885 700
452 -3458 1158
453 -2024 1285
454 -1434 901
456 -1957 1277
457 -1725 920
