x
0 1
11 -671 1165
14 -679 886
16 -665 1084
18 -660 754
20 -618 1012
21 -666 852
22 -664 868
23 -645 855
24 -698 822
26 -518 723
28 -746 1267
29 -665 953
54 -1430 1195
56 -2107 1274
57 -1751 1161
111 -679 1140
114 -679 886
116 -659 1084
118 -617 771
120 -618 1012
121 -666 852
122 -664 872
123 -612 821
124 -626 822
126 -518 723
128 -746 1267
129 -665 951
154 -1343 1195
156 -2107 1274
157 -1751 1161
211 -679 1140
214 -695 886
216 -664 1084
218 -617 771
220 -618 982
221 -666 852
222 -664 872
223 -610 821
224 -626 822
226 -518 740
228 -746 1267
229 -665 944
254 -1343 1195
256 -2107 1274
257 -1751 1161
311 -707 1139
314 -704 867
316 -664 1084
318 -617 775
320 -655 982
321 -663 873
322 -664 872
323 -610 821
324 -626 822
326 -518 740
328 -779 1267
329 -665 944
354 -1332 1146
356 -2066 1274
357 -1734 1161
411 -707 1139
414 -704 867
416 -636 1084
418 -617 775
420 -655 982
421 -663 873
422 -664 868
423 -610 821
424 -626 821
426 -518 740
428 -779 1267
429 -665 944
454 -1345 1145
456 -2066 1254
457 -1734 1015
1900 1 5
2000 -1.85119e+062 18.6
