x
0 1
11 -667 893
14 -679 768
20 -613 695
21 -661 851
22 -611 790
23 -567 855
26 -405 539
28 -746 959
29 -605 870
52 -3110 1487
53 -1806 1071
54 -1304 855
56 -1990 1274
57 -1600 1048
111 -667 961
114 -679 768
120 -613 740
121 -661 815
122 -662 834
123 -610 649
126 -472 553
128 -746 1148
129 -605 827
152 -3110 1487
153 -1806 1221
154 -1332 1033
156 -1990 1274
157 -1625 1048
211 -679 1134
214 -619 851
220 -549 695
221 -661 815
222 -662 770
223 -610 542
226 -459 729
228 -733 1148
229 -614 827
252 -3110 1487
253 -1806 1221
254 -1332 1021
256 -1873 1274
257 -1660 801
311 -639 1134
314 -634 860
320 -583 474
321 -663 815
322 -662 821
323 -610 821
326 -480 729
328 -692 1136
329 -587 803
352 -3155 1309
353 -1866 1221
354 -1332 1036
356 -1864 1235
357 -1660 859
411 -707 1101
414 -704 751
420 -655 634
421 -663 855
422 -662 749
423 -610 821
426 -480 729
428 -779 1236
429 -645 813
452 -3124 1309
453 -1811 1221
454 -1332 924
456 -2054 1235
457 -1660 920
