x
0 1
10 -578 662
11 -676 1101
12 -756 813
13 -631 746
14 -651 889
15 -698 750
16 -647 1088
18 -619 734
20 -585 969
21 -699 836
22 -695 852
23 -597 804
24 -603 813
25 -597 653
26 -562 760
28 -686 1287
29 -624 948
56 -2025 1242
110 -573 662
111 -676 1115
112 -756 813
113 -631 746
114 -651 889
115 -698 750
116 -647 1088
118 -619 734
120 -585 969
121 -699 836
122 -695 848
123 -597 804
124 -603 804
125 -597 668
126 -562 731
128 -686 1287
129 -624 948
156 -2025 1242
210 -573 653
211 -676 1127
212 -756 813
213 -635 746
214 -651 889
215 -686 750
216 -624 1074
218 -619 734
220 -585 969
221 -699 836
222 -695 848
223 -597 804
224 -624 829
225 -597 668
226 -562 760
228 -686 1287
229 -624 948
256 -2025 1231
310 -573 653
311 -676 1141
312 -756 800
313 -655 746
314 -651 889
315 -692 750
316 -624 1074
318 -619 741
320 -585 921
321 -699 777
322 -695 834
323 -597 804
324 -631 829
325 -597 655
326 -562 658
328 -694 1287
329 -624 948
356 -2023 1231
410 -573 654
411 -676 1141
412 -756 760
413 -655 746
414 -651 889
415 -692 750
416 -624 1074
418 -619 741
420 -585 988
421 -699 777
422 -695 844
423 -602 804
424 -631 829
425 -597 655
426 -562 760
428 -685 1287
429 -624 948
456 -2023 1231
510 -573 654
511 -676 1141
512 -756 750
513 -655 746
514 -651 889
515 -692 721
516 -624 1074
518 -619 751
520 -555 988
521 -699 777
522 -695 837
523 -597 804
524 -631 829
525 -597 705
526 -562 646
528 -663 1287
529 -595 948
556 -1920 1234
610 -573 654
611 -634 1141
612 -756 787
613 -655 746
614 -629 889
615 -692 730
616 -624 1074
618 -619 751
620 -570 988
621 -699 777
622 -695 840
623 -597 804
624 -632 829
625 -597 655
626 -562 646
628 -658 1287
629 -603 973
656 -1957 1231
710 -573 654
711 -634 1134
712 -756 800
713 -651 746
714 -633 868
715 -692 721
716 -619 1074
718 -619 751
720 -573 988
721 -699 777
722 -695 837
723 -578 804
724 -632 829
725 -597 655
726 -562 644
728 -694 1287
729 -603 938
756 -1917 1231
810 -573 654
811 -634 1134
812 -756 766
813 -651 746
814 -652 869
815 -692 743
816 -615 1074
818 -619 741
820 -604 988
821 -699 777
822 -695 844
823 -578 804
824 -632 829
825 -597 655
826 -562 701
828 -690 1287
829 -637 923
856 -1975 1231
910 -573 654
911 -652 1134
912 -756 766
913 -651 746
914 -652 863
915 -692 743
916 -619 1055
918 -619 751
920 -604 988
921 -699 777
922 -695 837
923 -600 804
924 -632 829
925 -597 648
926 -562 644
928 -690 1287
929 -637 941
956 -1975 1234
