x
0 1
10 -432 611
11 -639 1051
14 -624 796
15 -685 676
26 -469 647
28 -689 1189
29 -548 903
51 -4327 867
52 -3196 1146
53 -1850 1095
54 -1346 978
56 -1793 1191
110 -471 537
111 -653 862
114 -660 874
115 -660 727
126 -478 659
128 -727 1100
129 -615 761
151 -3959 1016
152 -2926 1204
153 -1688 1227
154 -1263 957
156 -1915 1198
210 -498 619
211 -641 1131
214 -651 816
215 -661 699
226 -493 581
228 -698 798
229 -587 868
251 -4178 981
252 -2999 1146
253 -1848 1227
254 -1263 965
256 -1917 1138
310 -484 528
311 -674 1090
314 -631 795
315 -660 672
326 -469 544
328 -648 944
329 -553 914
351 -3924 981
352 -2926 1146
353 -1663 1186
354 -1263 883
356 -1785 1154
410 -586 589
411 -603 954
414 -631 732
415 -662 708
426 -572 615
428 -650 1260
429 -591 935
451 -4829 740
452 -3178 1324
453 -1802 1187
454 -1376 974
456 -1917 1219
510 -483 594
511 -659 1111
514 -668 878
515 -660 708
526 -469 690
528 -720 1233
529 -605 761
551 -4085 872
552 -2946 1187
553 -1683 1102
554 -1276 918
556 -1932 1135
610 -556 518
611 -632 1140
614 -676 851
615 -692 737
626 -545 594
628 -736 1282
629 -639 918
651 -4753 852
652 -3333 1153
653 -1953 1102
654 -1380 903
656 -2037 1115
710 -471 549
711 -599 1100
714 -669 749
715 -668 729
726 -476 714
728 -675 1180
729 -596 761
751 -4197 906
752 -3033 1235
753 -1749 1102
754 -1294 1085
756 -1847 1246
810 -476 620
811 -619 1100
814 -631 864
815 -689 701
826 -478 577
828 -640 1230
829 -549 830
851 -4348 754
852 -3057 1374
853 -1775 1098
854 -1288 959
856 -1698 1275
910 -449 604
911 -627 1131
914 -632 772
915 -674 708
926 -434 582
928 -663 1172
929 -553 889
951 -4228 893
952 -3155 1326
953 -1856 1373
954 -1299 983
956 -1668 1210
2000 -26.81 12.65
