x
0 1
10 -476 547
11 -606 998
12 -634 784
13 -542 678
14 -606 755
15 -608 659
16 -583 796
18 -505 562
20 -515 1027
21 -579 708
22 -611 868
23 -494 637
24 -527 750
25 -486 577
26 -397 502
28 -668 1185
29 -545 685
56 -1666 1162
110 -418 554
111 -606 953
112 -641 784
113 -569 718
114 -622 784
115 -645 662
116 -583 843
118 -539 638
120 -515 571
121 -619 708
122 -593 823
123 -494 637
124 -537 750
125 -513 477
126 -424 589
128 -668 1088
129 -545 869
156 -1666 1177
210 -418 561
211 -611 932
212 -629 784
213 -552 718
214 -609 758
215 -633 703
216 -588 843
218 -539 754
220 -516 842
221 -603 651
222 -593 686
223 -507 696
224 -537 750
225 -513 482
226 -424 558
228 -668 793
229 -557 730
256 -1806 1151
310 -454 568
311 -588 717
312 -656 637
313 -595 614
314 -582 846
315 -665 703
316 -599 980
318 -542 754
320 -516 806
321 -623 631
322 -604 758
323 -531 644
324 -553 721
325 -530 527
326 -441 646
328 -597 1104
329 -557 760
356 -1806 1194
410 -454 568
411 -591 972
412 -656 646
413 -595 601
414 -589 846
415 -665 555
416 -599 980
418 -542 711
420 -465 740
421 -623 595
422 -604 735
423 -531 789
424 -553 718
425 -530 527
426 -424 573
428 -600 1037
429 -489 731
456 -1582 1196
