x
0 1
10 -472 584
11 -656 1165
12 -707 807
13 -723 667
14 -673 855
15 -689 747
20 -618 1012
21 -653 852
22 -638 852
23 -645 701
25 -545 663
26 -513 723
28 -686 1215
29 -665 953
53 -2013 1431
56 -2021 1156
110 -468 700
111 -632 1104
112 -670 807
113 -613 667
114 -671 867
115 -680 747
120 -618 808
121 -649 706
122 -638 872
123 -563 701
125 -545 663
126 -506 682
128 -699 1204
129 -665 944
153 -1697 1431
156 -2021 1195
210 -462 527
211 -679 1105
212 -669 807
213 -613 728
214 -643 762
215 -662 738
220 -584 814
221 -636 839
222 -619 872
223 -561 701
225 -540 663
226 -460 682
228 -733 1068
229 -623 944
253 -1661 1431
256 -2011 1195
310 -481 578
311 -638 1114
312 -669 755
313 -629 667
314 -673 860
315 -689 722
320 -547 830
321 -653 819
322 -626 872
323 -586 614
325 -534 670
326 -470 682
328 -680 1236
329 -612 944
353 -1866 1431
356 -1974 1156
410 -522 700
411 -638 1120
412 -675 755
413 -629 667
414 -673 762
415 -648 739
420 -579 897
421 -622 691
422 -645 857
423 -549 628
425 -534 670
426 -499 669
428 -685 1262
429 -618 944
453 -1721 1237
456 -2001 1156
1900 1 5
2000 -1.85119e+062 16
