x
0 1
10 -389 658
11 -644 306
15 -629 685
20 -548 690
21 -592 607
22 -550 847
23 -492 433
25 -487 618
26 -379 433
52 -2746 991
53 -1573 946
54 -1173 996
55 -2243 1002
56 -1900 1104
110 -374 492
111 -535 1007
115 -695 700
120 -519 893
121 -601 656
122 -627 728
123 -529 540
125 -507 489
126 -361 584
152 -2944 941
153 -1621 1016
154 -1324 1003
155 -2139 1444
156 -1785 1217
210 -476 439
211 -555 973
215 -647 703
220 -465 755
221 -653 636
222 -651 780
223 -585 704
225 -541 589
226 -521 551
252 -3155 861
253 -1856 1013
254 -1299 1076
255 -2294 2169
256 -1889 1208
310 -474 648
311 -625 532
315 -642 682
320 -518 893
321 -614 783
322 -613 773
323 -537 659
325 -513 599
326 -421 607
352 -2953 1444
353 -1737 1064
354 -1216 796
355 -1993 1932
356 -1550 1141
410 -490 542
411 -599 1147
415 -696 700
420 -481 753
421 -639 536
422 -698 830
423 -589 457
425 -518 534
426 -392 586
452 -3055 1286
453 -1785 1094
454 -1334 996
455 -2256 1681
456 -1695 1217
510 -605 438
511 -591 322
515 -676 519
520 -475 670
521 -720 673
522 -728 840
523 -567 392
525 -627 518
526 -563 696
552 -3185 1134
553 -1784 835
554 -1420 874
555 -2237 1873
556 -1609 1160
610 -429 625
611 -625 1094
615 -601 693
620 -585 697
621 -574 513
622 -592 773
623 -515 593
625 -489 623
626 -420 546
652 -2650 775
653 -1543 981
654 -1185 1008
655 -2127 1548
656 -1957 995
710 -441 571
711 -676 1094
715 -691 646
720 -575 748
721 -669 683
722 -615 861
723 -571 589
725 -527 487
726 -427 540
752 -3158 729
753 -1831 764
754 -1327 1189
755 -2278 1702
756 -1918 1176
810 -468 531
811 -580 1025
815 -650 688
820 -504 637
821 -618 336
822 -613 830
823 -512 871
825 -502 477
826 -450 491
852 -2663 1201
853 -1593 1380
854 -1197 794
855 -2333 1461
856 -1582 1165
910 -520 614
911 -623 -91
915 -661 684
920 -540 704
921 -620 685
922 -649 883
923 -541 647
925 -528 532
926 -507 619
952 -2941 1136
953 -1722 895
954 -1240 1113
955 -2425 1898
956 -1697 1282
2000 -35.6 16.88
