x
0 1
10 -530 658
11 -674 979
12 -700 784
13 -629 755
14 -669 868
15 -704 731
16 -643 1023
18 -588 719
20 -591 872
21 -677 807
22 -642 881
23 -584 763
24 -594 817
25 -580 643
26 -485 678
28 -720 1237
29 -605 871
56 -1907 1275
110 -530 658
111 -674 979
112 -700 804
113 -629 755
114 -668 868
115 -704 721
116 -643 1023
118 -601 704
120 -591 872
121 -677 803
122 -642 843
123 -592 733
124 -602 817
125 -580 661
126 -485 697
128 -720 1237
129 -605 923
156 -1907 1275
210 -586 658
211 -674 1140
212 -754 804
213 -654 755
214 -668 868
215 -686 731
216 -619 998
218 -648 704
220 -591 872
221 -704 803
222 -712 843
223 -592 758
224 -630 817
225 -612 661
226 -572 697
228 -720 1260
229 -605 923
256 -1907 1199
310 -586 658
311 -674 1140
312 -754 804
313 -654 755
314 -683 893
315 -686 719
316 -624 939
318 -648 689
320 -614 872
321 -704 748
322 -712 843
323 -598 733
324 -630 745
325 -612 661
326 -572 678
328 -749 1260
329 -627 918
356 -1807 1243
410 -586 658
411 -674 1140
412 -754 804
413 -654 755
414 -683 898
415 -686 719
416 -627 998
418 -648 719
420 -616 872
421 -704 774
422 -712 843
423 -592 824
424 -630 749
425 -612 661
426 -572 595
428 -749 1260
429 -627 918
456 -1963 1243
510 -586 658
511 -627 1140
512 -754 804
513 -654 686
514 -683 898
515 -688 745
516 -627 1059
518 -648 703
520 -616 834
521 -704 828
522 -712 841
523 -598 824
524 -630 757
525 -612 619
526 -572 606
528 -749 1282
529 -627 918
556 -1963 1243
610 -586 658
611 -632 1140
612 -754 684
613 -654 686
614 -632 898
615 -695 668
616 -627 1047
618 -648 766
620 -529 834
621 -704 828
622 -712 808
623 -592 824
624 -630 805
625 -612 608
626 -572 595
628 -661 1260
629 -549 918
656 -1823 1243
710 -586 658
711 -650 1140
712 -754 744
713 -654 718
714 -632 899
715 -703 745
716 -624 1047
718 -632 685
720 -563 834
721 -704 828
722 -703 841
723 -612 824
724 -630 778
725 -612 619
726 -572 645
728 -661 1260
729 -603 943
756 -1958 1246
810 -498 669
811 -650 1118
812 -712 744
813 -640 718
814 -638 877
815 -703 711
816 -623 1059
818 -652 766
820 -542 874
821 -666 828
822 -711 805
823 -640 824
824 -628 778
825 -567 553
826 -486 652
828 -675 1239
829 -566 908
856 -1724 1246
910 -473 669
911 -650 1118
912 -712 753
913 -642 718
914 -638 899
915 -705 745
916 -631 1047
918 -652 707
920 -563 850
921 -677 828
922 -711 817
923 -640 824
924 -628 778
925 -570 619
926 -498 652
928 -695 1239
929 -603 895
956 -1958 1246
