x
0 1
11 -627 714
12 -635 623
13 -608 679
14 -618 863
20 -560 675
21 -629 777
22 -616 806
23 -567 621
26 -493 565
28 -670 1164
29 -591 973
53 -1773 1050
56 -1917 1137
57 -1593 832
111 -598 1117
112 -688 689
113 -692 679
114 -632 863
120 -531 720
121 -612 819
122 -618 806
123 -625 697
126 -480 572
128 -696 1040
129 -564 973
153 -1953 1163
156 -1801 1122
157 -1587 788
211 -588 1101
212 -756 662
213 -613 679
214 -585 863
220 -538 645
221 -699 530
222 -695 856
223 -552 553
226 -562 568
228 -599 1287
229 -536 973
253 -1760 1213
256 -1762 1138
257 -1738 859
311 -608 1127
312 -678 785
313 -624 679
314 -588 863
320 -538 569
321 -602 798
322 -620 820
323 -591 553
326 -480 466
328 -649 874
329 -553 973
353 -1638 1053
356 -1720 1216
357 -1566 880
411 -645 580
412 -660 688
413 -587 730
414 -621 739
420 -534 893
421 -633 705
422 -627 806
423 -519 553
426 -469 630
428 -608 1174
429 -576 973
453 -1813 880
456 -1764 1107
457 -1541 793
511 -665 954
512 -657 776
513 -616 552
514 -642 889
520 -581 822
521 -621 829
522 -664 817
523 -596 597
526 -498 664
528 -717 1180
529 -577 973
553 -1598 1098
556 -1748 1168
557 -1727 786
611 -636 1041
612 -707 688
613 -629 592
614 -584 851
620 -487 902
621 -677 468
622 -712 806
623 -559 717
626 -559 712
628 -652 1237
629 -526 973
653 -1763 1362
656 -1630 1154
657 -1764 1004
711 -611 1106
712 -639 688
713 -589 655
714 -623 888
720 -529 939
721 -680 625
722 -649 834
723 -544 763
726 -497 650
728 -650 1005
729 -613 973
753 -1707 1069
756 -1925 1198
757 -1580 865
811 -604 1158
812 -684 701
813 -700 632
814 -644 787
820 -585 908
821 -596 566
822 -611 806
823 -623 845
826 -479 583
828 -647 1134
829 -628 973
853 -1946 1087
856 -1845 1082
857 -1521 820
911 -613 971
912 -652 688
913 -596 648
914 -639 765
920 -559 988
921 -626 468
922 -595 829
923 -525 599
926 -467 532
928 -632 1198
929 -603 973
953 -1647 1264
956 -1877 1074
957 -1558 980
1011 -601 1158
1012 -684 722
1013 -700 714
1014 -609 832
1020 -558 811
1021 -647 741
1022 -634 816
1023 -623 645
1026 -446 578
1028 -628 1065
1029 -598 973
1053 -1946 1120
1056 -1948 1218
1057 -1610 1120
1111 -600 673
1112 -706 688
1113 -598 648
1114 -626 723
1120 -540 783
1121 -665 644
1122 -656 845
1123 -551 622
1126 -416 754
1128 -629 1164
1129 -588 809
1153 -1778 1204
1156 -1742 1216
1157 -1571 873
1211 -635 1140
1212 -667 766
1213 -654 681
1214 -683 788
1220 -596 645
1221 -629 583
1222 -624 805
1223 -577 524
1226 -432 697
1228 -695 1218
1229 -639 830
1253 -1814 1041
1256 -2037 1195
1257 -1639 786
1311 -638 1007
1312 -652 642
1313 -597 681
1314 -633 732
1320 -574 645
1321 -625 468
1322 -620 827
1323 -539 824
1326 -462 760
1328 -628 1239
1329 -619 842
1353 -1639 1013
1356 -1853 1252
1357 -1605 799
1411 -587 1098
1412 -678 776
1413 -635 681
1414 -638 787
1420 -564 645
1421 -666 802
1422 -635 805
1423 -574 704
1426 -447 656
1428 -648 1061
1429 -609 753
1453 -1801 1069
1456 -1777 1275
1457 -1684 881
2000 -41.17 19.55
