x
0 1
10 -556 658
11 -609 1142
12 -737 679
13 -656 681
14 -638 897
15 -705 665
16 -628 1047
18 -609 671
20 -520 803
21 -679 828
22 -678 801
23 -613 731
24 -631 745
25 -579 586
26 -545 645
28 -657 1282
29 -559 854
56 -1833 1246
110 -498 597
111 -620 1142
112 -702 736
113 -656 686
114 -638 897
115 -705 667
116 -628 1047
118 -613 650
120 -520 811
121 -677 698
122 -698 821
123 -613 731
124 -631 778
125 -570 489
126 -499 586
128 -657 1239
129 -557 943
156 -1659 1246
210 -491 635
211 -650 1142
212 -702 777
213 -656 723
214 -638 897
215 -705 609
216 -628 865
218 -646 644
220 -542 874
221 -677 793
222 -705 801
223 -613 731
224 -631 778
225 -570 560
226 -499 593
228 -675 1070
229 -566 889
256 -1724 1246
310 -473 648
311 -625 1099
312 -712 727
313 -643 723
314 -638 870
315 -710 657
316 -628 940
318 -652 666
320 -542 918
321 -684 714
322 -711 806
323 -640 659
324 -628 753
325 -584 538
326 -484 571
328 -675 1201
329 -566 911
356 -1711 1245
410 -473 635
411 -625 1099
412 -707 723
413 -643 723
414 -636 870
415 -710 671
416 -631 895
418 -646 667
420 -503 918
421 -684 772
422 -705 830
423 -580 749
424 -623 753
425 -584 538
426 -454 571
428 -635 978
429 -548 813
456 -1741 1245
