x
0 1
11 -638 1137
14 -621 772
20 -497 753
21 -657 645
22 -643 855
23 -562 749
26 -510 657
28 -629 1220
29 -549 792
52 -3057 1222
53 -1764 1203
54 -1313 1061
56 -1691 1104
57 -1669 962
111 -596 1147
114 -638 864
120 -551 761
121 -634 639
122 -657 863
123 -609 768
126 -478 674
128 -652 1206
129 -590 889
152 -3008 1222
153 -1746 1249
154 -1334 1061
156 -1921 1208
157 -1568 942
211 -608 1108
214 -632 760
220 -545 1036
221 -656 635
222 -632 830
223 -562 649
226 -446 574
228 -621 1224
229 -546 891
252 -3030 1373
253 -1726 1249
254 -1313 1076
256 -1800 1208
257 -1725 881
311 -601 1045
314 -608 872
320 -561 649
321 -624 694
322 -643 834
323 -575 615
326 -475 480
328 -604 1070
329 -600 780
352 -2976 1286
353 -1724 1249
354 -1278 989
356 -1951 1191
357 -1620 881
411 -668 1072
414 -648 860
420 -559 673
421 -642 831
422 -607 830
423 -578 657
426 -471 597
428 -674 1205
429 -560 962
452 -2921 1172
453 -1688 1249
454 -1314 1192
456 -1852 1186
457 -1670 1126
2000 -22.66 16.36
