x
0 1
10 -409 441
11 -555 395
14 -617 798
15 -647 712
26 -454 577
28 -604 663
29 -480 526
51 -3945 828
52 -2840 991
53 -1626 946
54 -1214 1017
56 -1797 1195
110 -432 464
111 -587 977
114 -609 854
115 -634 633
126 -509 400
128 -648 1236
129 -549 866
151 -3783 727
152 -2663 1290
153 -1559 987
154 -1272 881
156 -1686 1072
210 -543 542
211 -586 1037
214 -581 854
215 -682 696
226 -530 485
228 -613 860
229 -537 796
251 -4668 754
252 -3069 1374
253 -1814 755
254 -1303 932
256 -1814 1208
310 -457 529
311 -583 1100
314 -620 720
315 -654 602
326 -445 460
328 -620 1180
329 -524 501
351 -3993 773
352 -2953 1247
353 -1737 1016
354 -1252 1026
356 -1528 1141
410 -387 604
411 -550 644
414 -589 703
415 -678 458
426 -389 571
428 -627 653
429 -516 734
451 -4000 801
452 -3008 1024
453 -1742 1134
454 -1266 945
456 -1606 1025
510 -519 421
511 -566 843
514 -595 537
515 -676 678
526 -540 520
528 -603 1253
529 -522 796
551 -4175 715
552 -3057 1004
553 -1744 1142
554 -1313 880
556 -1621 1074
610 -476 419
611 -592 463
614 -603 660
615 -685 676
626 -446 674
628 -599 1218
629 -534 912
651 -4175 649
652 -3030 1028
653 -1717 923
654 -1313 835
656 -1651 1096
710 -379 406
711 -608 1059
714 -676 752
715 -619 727
726 -433 503
728 -687 1214
729 -602 847
751 -3702 1012
752 -2897 1165
753 -1706 1447
754 -1194 996
756 -1941 1125
810 -416 541
811 -646 1014
814 -628 487
815 -655 699
826 -391 569
828 -616 621
829 -556 671
851 -3928 344
852 -2786 1023
853 -1634 920
854 -1190 870
856 -1764 1167
910 -529 579
911 -613 1154
914 -577 689
915 -654 735
926 -517 596
928 -560 1172
929 -558 746
951 -4564 683
952 -3198 912
953 -1866 866
954 -1332 1033
956 -1824 1206
2000 -32.9 22.7
