x
0 1
10 -545 658
11 -674 1158
15 -704 740
18 -638 751
20 -610 939
21 -677 829
22 -665 881
23 -625 763
24 -676 825
25 -580 662
26 -531 712
54 -1384 1085
55 -2453 2254
56 -2037 1275
110 -545 658
111 -674 1158
115 -704 741
118 -648 719
120 -610 943
121 -677 829
122 -712 858
123 -623 758
124 -676 825
125 -580 662
126 -559 713
154 -1384 1091
155 -2416 2254
156 -2037 1275
210 -586 658
211 -674 1158
215 -704 741
218 -648 719
220 -610 939
221 -704 836
222 -712 859
223 -623 845
224 -676 825
225 -612 662
226 -572 713
254 -1384 1091
255 -2416 2077
256 -2037 1275
310 -586 658
311 -674 1158
315 -704 741
318 -648 719
320 -614 939
321 -704 836
322 -712 859
323 -623 845
324 -676 825
325 -612 662
326 -572 760
354 -1384 1091
355 -2416 2297
356 -2037 1275
410 -586 658
411 -674 1158
415 -704 745
418 -648 719
420 -631 939
421 -704 836
422 -712 859
423 -623 845
424 -676 825
425 -612 662
426 -572 760
454 -1384 1091
455 -2412 2297
456 -1976 1275
510 -586 658
511 -637 1158
515 -689 745
518 -648 766
520 -631 939
521 -704 836
522 -712 859
523 -623 845
524 -676 805
525 -612 662
526 -572 760
554 -1384 1091
555 -2520 2297
556 -1976 1275
610 -586 669
611 -637 1149
615 -695 745
618 -648 766
620 -631 908
621 -704 836
622 -712 859
623 -622 845
624 -650 805
625 -612 662
626 -572 760
654 -1376 1119
655 -2520 2297
656 -1976 1252
710 -586 669
711 -650 1142
715 -703 745
718 -632 766
720 -631 908
721 -704 836
722 -703 859
723 -613 845
724 -650 805
725 -612 637
726 -572 760
754 -1376 1119
755 -2520 2297
756 -1963 1252
810 -556 669
811 -650 1142
815 -703 746
818 -652 766
820 -631 908
821 -679 834
822 -711 859
823 -640 824
824 -631 805
825 -579 637
826 -545 760
854 -1338 1119
855 -2520 2297
856 -1963 1252
910 -556 669
911 -650 1166
915 -705 746
918 -661 766
920 -631 893
921 -679 828
922 -711 865
923 -646 824
924 -699 805
925 -579 637
926 -545 754
954 -1431 1088
955 -2520 2169
956 -1963 1277
1900 2 10
2000 -4.62798e+062 39.6
