x
0 1
11 -627 1093
20 -570 988
21 -629 777
22 -659 852
23 -586 658
26 -493 690
52 -3016 1307
53 -1773 1423
54 -1313 1044
55 -2329 1936
56 -1917 1140
57 -1643 1013
111 -662 1117
120 -573 912
121 -642 819
122 -654 837
123 -625 709
126 -510 633
152 -3333 1307
153 -1953 1423
154 -1380 1050
155 -2303 2254
156 -2009 1169
157 -1618 889
211 -668 1101
220 -578 912
221 -699 773
222 -695 856
223 -562 716
226 -562 702
252 -3122 1194
253 -1778 1288
254 -1362 1016
255 -2329 1939
256 -1892 1219
257 -1738 873
311 -658 1127
320 -596 912
321 -624 798
322 -663 842
323 -591 812
326 -488 632
352 -2833 1324
353 -1638 1288
354 -1302 1016
355 -2416 2040
356 -2037 1216
357 -1551 1052
411 -659 946
420 -604 954
421 -634 816
422 -627 827
423 -555 754
426 -475 714
452 -3060 1207
453 -1813 1288
454 -1254 1048
455 -2394 1722
456 -2019 1170
457 -1605 875
511 -676 1115
520 -612 912
521 -651 829
522 -665 881
523 -600 669
526 -531 664
552 -2987 1187
553 -1703 1288
554 -1284 1016
555 -2453 2077
556 -2104 1275
557 -1727 940
611 -674 1091
620 -561 902
621 -677 807
622 -712 835
623 -592 717
626 -559 714
652 -3092 1266
653 -1763 1362
654 -1329 1085
655 -2226 1758
656 -2029 1195
657 -1764 1004
711 -641 1149
720 -529 939
721 -680 679
722 -649 834
723 -622 785
726 -497 696
752 -3196 1153
753 -1850 1143
754 -1346 1016
755 -2320 1858
756 -1925 1198
757 -1580 953
811 -674 1158
820 -585 908
821 -637 645
822 -638 852
823 -623 845
826 -479 713
852 -3330 1153
853 -1946 1133
854 -1384 1020
855 -2387 1916
856 -1857 1107
857 -1620 1019
911 -614 1134
920 -616 988
921 -626 836
922 -625 829
923 -571 691
926 -484 632
952 -2908 1209
953 -1811 1264
954 -1248 1044
955 -2370 1936
956 -1963 1243
957 -1558 980
1011 -649 1158
1020 -610 872
1021 -679 741
1022 -678 843
1023 -625 669
1026 -545 632
1052 -3333 1254
1053 -1953 1297
1054 -1384 1060
1055 -2324 2254
1056 -1992 1218
1057 -1688 1120
1111 -637 1100
1120 -603 841
1121 -665 770
1122 -656 847
1123 -585 733
1126 -492 754
1152 -3013 1297
1153 -1778 1204
1154 -1324 1060
1155 -2412 1784
1156 -1878 1217
1157 -1608 1036
1211 -635 1140
1220 -596 841
1221 -704 798
1222 -703 842
1223 -592 669
1226 -572 697
1252 -3178 1204
1253 -1814 1076
1254 -1376 1060
1255 -2520 2024
1256 -2037 1239
1257 -1799 979
1311 -638 1107
1320 -631 874
1321 -630 783
1322 -686 859
1323 -597 824
1326 -530 760
1352 -2837 1274
1353 -1648 1013
1354 -1303 1091
1355 -2337 1929
1356 -1962 1252
1357 -1747 876
1411 -665 1147
1420 -581 874
1421 -666 829
1422 -698 859
1423 -589 715
1426 -449 656
1452 -3114 1363
1453 -1801 1182
1454 -1334 1080
1455 -2294 2077
1456 -1976 1275
1457 -1727 905
2000 -46.98 55.26
