x
0 1
10 -545 550
11 -665 1158
12 -684 780
13 -700 742
15 -665 740
17 -671 716
18 -638 630
19 -666 573
20 -586 780
21 -623 798
22 -665 833
23 -623 626
24 -676 825
25 -519 635
26 -531 712
27 -656 613
55 -2324 1758
110 -545 544
111 -665 1158
112 -684 780
113 -700 742
115 -642 740
117 -666 716
118 -638 661
119 -649 573
120 -586 939
121 -599 798
122 -665 841
123 -623 736
124 -676 825
125 -502 627
126 -531 712
127 -656 613
155 -2324 1859
210 -506 581
211 -665 1131
212 -679 710
213 -627 632
215 -679 740
217 -666 716
218 -583 648
219 -642 566
220 -572 939
221 -652 798
222 -601 859
223 -565 845
224 -609 825
225 -497 662
226 -475 583
227 -656 583
255 -2226 1859
310 -440 628
311 -665 1131
312 -679 812
313 -627 632
315 -679 740
317 -681 724
318 -583 623
319 -642 600
320 -582 689
321 -652 728
322 -596 859
323 -565 845
324 -609 825
325 -532 662
326 -475 713
327 -624 626
355 -2337 2077
410 -509 616
411 -665 1131
412 -679 812
413 -627 667
415 -679 731
417 -681 694
418 -583 703
419 -642 554
420 -582 686
421 -652 705
422 -635 859
423 -562 845
424 -609 825
425 -512 662
426 -470 713
427 -624 583
455 -2337 2077
510 -509 607
511 -630 1131
512 -679 812
513 -627 655
515 -679 731
517 -664 711
518 -583 596
519 -642 613
520 -582 811
521 -652 802
522 -635 859
523 -562 845
524 -609 754
525 -526 662
526 -443 713
527 -604 583
555 -2289 2077
610 -472 607
611 -630 1131
612 -679 812
613 -627 685
615 -679 745
617 -677 682
618 -583 685
619 -667 613
620 -582 811
621 -652 802
622 -622 859
623 -562 845
624 -609 754
625 -531 662
626 -454 713
627 -614 583
655 -2289 1859
710 -473 616
711 -638 1107
712 -679 812
713 -619 741
715 -679 731
717 -653 682
718 -607 766
719 -658 611
720 -582 811
721 -652 802
722 -669 859
723 -612 845
724 -598 795
725 -538 637
726 -509 623
727 -598 714
755 -2520 1639
810 -543 607
811 -638 1137
812 -680 728
813 -640 741
815 -682 733
817 -661 772
818 -609 707
819 -658 611
820 -570 811
821 -639 802
822 -686 859
823 -598 669
824 -615 795
825 -553 637
826 -530 623
827 -598 714
855 -2520 2297
910 -543 594
911 -638 1137
912 -680 765
913 -640 741
915 -682 745
917 -677 772
918 -609 668
919 -667 611
920 -570 718
921 -639 802
922 -686 863
923 -597 737
924 -618 795
925 -553 637
926 -530 623
927 -614 714
955 -2271 1929
1900 2 10
2000 -3.70239e+062 39.6
