x
0 1
10 -548 658
11 -674 1136
12 -694 800
13 -658 746
15 -704 743
20 -570 988
21 -663 792
22 -676 867
23 -592 812
25 -573 648
26 -528 714
53 -1820 1423
55 -2329 2136
56 -2029 1229
110 -530 654
111 -693 1131
112 -688 800
113 -692 737
115 -673 744
120 -604 954
121 -642 819
122 -654 845
123 -625 790
125 -540 673
126 -516 714
153 -1953 1423
155 -2356 2254
156 -2019 1231
210 -573 646
211 -676 1136
212 -756 812
213 -696 711
215 -683 741
220 -621 959
221 -699 806
222 -695 881
223 -624 790
225 -597 705
226 -562 751
253 -1942 1336
255 -2457 2093
256 -2104 1219
310 -548 658
311 -674 1127
312 -689 785
313 -624 743
315 -689 737
320 -596 988
321 -659 807
322 -676 867
323 -592 812
325 -556 647
326 -528 714
353 -1749 1336
355 -2416 2040
356 -2037 1229
410 -530 654
411 -662 1131
412 -702 784
413 -692 737
415 -673 744
420 -610 954
421 -639 819
422 -640 843
423 -625 790
425 -540 673
426 -489 714
453 -1953 1336
455 -2394 2254
456 -2019 1198
510 -573 646
511 -676 1158
512 -756 788
513 -700 755
515 -689 741
520 -612 959
521 -699 829
522 -695 881
523 -623 790
525 -597 705
526 -562 664
553 -1946 1336
555 -2453 2093
556 -2104 1275
610 -498 658
611 -674 1106
612 -707 804
613 -629 743
615 -704 737
620 -596 988
621 -677 807
622 -712 842
623 -592 790
625 -580 647
626 -559 714
653 -1766 1362
655 -2416 2040
656 -2037 1239
710 -530 658
711 -659 1158
712 -702 785
713 -700 730
715 -679 744
720 -610 954
721 -680 819
722 -649 843
723 -625 789
725 -575 673
726 -497 714
753 -1953 1336
755 -2394 2254
756 -1992 1217
810 -545 646
811 -676 1158
812 -706 805
813 -700 755
815 -689 741
820 -603 908
821 -665 829
822 -665 881
823 -623 845
825 -557 705
826 -531 713
853 -1946 1206
855 -2453 2297
856 -1976 1275
910 -586 658
911 -635 1140
912 -754 812
913 -654 742
915 -704 746
920 -616 988
921 -704 836
922 -712 842
923 -592 754
925 -612 647
926 -572 712
953 -1811 1264
955 -2416 2297
956 -2037 1243
1010 -556 658
1011 -659 1158
1012 -737 797
1013 -700 730
1015 -688 746
1020 -631 943
1021 -680 834
1022 -678 859
1023 -625 824
1025 -579 661
1026 -545 760
1053 -1953 1373
1055 -2394 2297
1056 -1992 1218
1110 -545 669
1111 -674 1158
1112 -706 805
1113 -700 755
1115 -695 746
1120 -603 908
1121 -665 829
1122 -665 859
1123 -623 845
1125 -557 662
1126 -531 754
1153 -1946 1217
1155 -2412 2297
1156 -1976 1275
1210 -586 653
1211 -644 1142
1212 -754 812
1213 -656 742
1215 -704 746
1220 -616 893
1221 -704 836
1222 -712 856
1223 -609 754
1225 -612 647
1226 -572 712
1253 -1814 1264
1255 -2520 2297
1256 -2037 1243
1310 -543 658
1311 -644 1158
1312 -712 797
1313 -700 697
1315 -692 746
1320 -631 939
1321 -680 834
1322 -711 859
1323 -640 824
1325 -575 661
1326 -530 760
1353 -1946 1373
1355 -2368 2297
1356 -1962 1252
1410 -509 669
1411 -674 1147
1412 -695 805
1413 -670 755
1415 -703 746
1420 -603 908
1421 -675 829
1422 -698 865
1423 -613 845
1425 -567 662
1426 -499 754
1453 -1801 1217
1455 -2412 2297
1456 -1976 1277
2000 -7.40477e+062 55.26
